id,img_name,Scientific_name,Sex,Tag,Info1,Info2,Info3,Info4
MGCL 1163623,MGCL 1163623_8171.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163623,"1988. CAYMAN ILS.: GRAND CAYMAN: BOATSWAIN BAY, SL 1 DECEMBER 1985 F.L. GONZALEZ",Gonzalez colln. Allyn Museum Acc. 1995-8,,
MGCL 1163624,MGCL 1163624_8173.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163624,Cayman Islands Grand Cayman Isl. 25 March 1983 L. Harris,Grand Cayman 3/25/63,L. Harris colln. MGCL Accession #2009-32,
MGCL 1163625,MGCL 1163625_8175.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163625,Cayman Is. B.W.I. CAYMAN BRAC 500 ft Bay 3 Apr 1975 E. J. Gerberg,Phoebus sennae (L.) det E. J. Gerberg,FSCA Florida State Collection of Arthopods,
MGCL 1163626,MGCL 1163626_8177.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163626,"1869. CAYMAN ILS. : CAYMAN BRAC: .5 MILES N JENNIFER BAY, SL 29 NOVEMBER 1985 F. L. GONZALEZ",Gonzalez colln. Allyn Museum Acc. 1995-8,,
MGCL 1163627,MGCL 1163627_8179.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163627,"CAYMAN BRAC I. Hawksbill Bay, South Side Rd.; Sta. CB–6 6.xi.1990 S. R. Steinhauser & Z. M. Schwendeman",Allyn Museum Acc. 1990-18,,
MGCL 1163628,MGCL 1163628_8181.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163628,GRAND CAYMAN I. Great Beach area N of quarry; Sta. GC–3 2–XI–90. 1990 S. R. Steinhauser & Z. M. Schwendeman,Allyn Museum Acc. 1990-18,,
MGCL 1163629,MGCL 1163629_8183.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163629,Grand Cayman. BWI Boatswain Point Lime Tree Estate 22 Feb 1986 E. J. Gerberg,Phoebus sennae (L.) det E. J. Gerberg,,
MGCL 1163630,MGCL 1163630_8185.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163630,CUBA: MATANZAS PLAYA DATE: 3 JULY 1950 LEG: SALVADOOR L. de la TORRO #9958 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),Allyn Museum Acc. 1995-18,
MGCL 1163631,MGCL 1163631_8187.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163631,CUBA: MATANZAS VERSALLES DATE: 20 OCTOBER 1950 LEG: SALVADOR L. de la TORRO #9966 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),Allyn Museum Acc. 1995-18,
MGCL 1163632,MGCL 1163632_8189.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163632,CUBA: MATANZAS PLAYA DATE: 10 JULY 1949 LEG: SALVADOOR L. de la TORRO #9969 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),R Warren colln. Allyn Museum Acc. 2004-1,
